id_tienda,nom_tienda,tipo_tienda,id_ciudad,id_pais,metros_cuadrados,activo,fec_apertura
47,RetailMax San Francisco,CONVE,32,CO,207,False,1999-09-04
48,RetailMax San Lourdes los altos,SUPER,15,MX,1521,True,2011-01-09
49,RetailMax Contulmo,CONVE,45,CL,219,True,2012-05-11
50,RetailMax San Paulina los bajos,CONVE,9,MX,,True,2003-11-01
51,RetailMax Garagoa,SUPER,45,CO,1013,True,2019-07-03
52,RetailMax Huelva,SUPER,44,PE,1392,True,2020-09-25
53,RetailMax Salamanca,SUPER,8,EC,1670,True,2006-06-16
54,RetailMax Vieja Santo Tomé y Príncipe,SUPER,36,MX,1292,True,2023-08-05
55,RetailMax Nueva Irán,SUPER,50,MX,2256,True,2000-12-31
56,RetailMax Papudo,SUPER,29,CL,1766,True,2023-07-02
57,RetailMax Fusagasugá,SUPER,18,CO,1891,True,2019-07-05
58,RetailMax Baleares,CONVE,44,PE,290,True,2004-04-09
59,RetailMax Guapi,HIPER,26,CO,10965,True,2016-03-16
60,RetailMax Quirihue,SUPER,7,CL,1264,True,2006-09-13
61,RetailMax Soatá,CONVE,13,CO,122,True,2020-05-23
62,RetailMax Zarzal,SUPER,35,CO,1366,True,2002-07-01
63,RetailMax San Diana los altos,SUPER,23,MX,1667,True,2004-11-09
64,RetailMax Vieja Mali,SUPER,11,MX,1545,True,2006-08-08
65,RetailMax Madrid,HIPER,40,PE,8441,True,2003-08-05
66,RetailMax Navarra,SUPER,7,EC,1896,True,2007-04-27
67,RetailMax Supía,HIPER,11,CO,8611,False,2014-11-15
68,RetailMax Venadillo,SUPER,24,CO,1740,True,2015-09-23
69,RetailMax Medio Atrato,CONVE,2,CO,203,True,2013-07-06
70,RetailMax Nueva Irán,CONVE,20,MX,195,True,2003-04-24
71,RetailMax San Reina de la Montaña,SUPER,46,MX,1984,True,2003-09-02
72,RetailMax Álava,SUPER,48,PE,1530,True,2023-09-29
73,RetailMax Los Muermos,SUPER,44,CL,1313,True,2005-01-14
74,RetailMax San Mateo,CONVE,17,CO,219,True,2000-11-20
75,RetailMax Vieja República de Macedonia del Norte,CONVE,4,MX,218,True,2010-09-17
76,RetailMax San Cynthia los altos,SUPER,41,MX,1287,True,1998-03-12
77,RetailMax San Débora los altos,SUPER,19,MX,1115,True,2007-08-06
78,RetailMax Puerto Wilches,SUPER,38,CO,1050,True,2021-12-09
79,RetailMax Suárez,CONVE,6,CO,240,True,2005-06-27
80,RetailMax Nueva República de Moldova,CONVE,34,MX,220,True,2017-09-15
81,RetailMax La Estrella,SUPER,30,CO,1832,True,2011-09-19
82,RetailMax Placilla,CONVE,47,CL,265,True,2007-12-14
83,RetailMax Riosucio,SUPER,6,CO,1580,True,2016-07-10
84,RetailMax Vieja Estonia,CONVE,21,MX,213,True,2014-09-04
85,RetailMax San Jonás los bajos,CONVE,50,MX,244,True,2006-11-29
86,RetailMax Navarra,SUPER,20,PE,1608,True,2004-04-05
87,RetailMax Zarzal,HIPER,33,CO,9146,True,2023-09-03
88,RetailMax Gachantivá,CONVE,9,CO,,True,2002-09-19
89,RetailMax Garagoa,SUPER,37,CO,1824,True,2024-11-12
90,RetailMax San María Cristina los bajos,CONVE,14,MX,250,True,2011-03-12
91,RetailMax Miraflores,SUPER,29,CO,1738,True,2025-11-28
92,RetailMax Caldera,CONVE,44,CL,226,True,2007-11-22
93,RetailMax Palmas del Socorro,SUPER,34,CO,956,True,2013-11-01
94,RetailMax La Primavera,SUPER,24,CO,1581,True,2015-03-24
95,RetailMax Vieja Brunei Darussalam,SUPER,10,MX,1718,True,2007-06-26
96,RetailMax Calera de Tango,HIPER,18,CL,8921,True,2004-02-10
97,RetailMax Granada,SUPER,43,PE,1627,True,2012-07-27
98,RetailMax Ollagüe,CONVE,11,CL,233,True,2016-07-24
99,RetailMax San Ramón los bajos,SUPER,33,MX,1258,True,2005-04-27
100,RetailMax Valparaíso,SUPER,25,CL,1666,True,2019-06-22
