art_id,cod_barra,desc_art,id_categ_n1,id_categ_n2,id_categ_n3,id_proveedor,precio_lista,peso_kg,unid_medida,activo,fec_alta
69,7701164235290,Maquinilla Gold 400ml,2,25,258,737,20898.81,0.231,UN,True,2026-02-11
70,7708725973771,Crema de Afeitar Selecto 750ml,2,21,,536,14873.81,1.504,CC,True,2023-08-29
71,7705096520731,Smart TV 65 Original,4,44,442,50,397230.87,1.481,UN,True,2025-06-16
72,7703218504899,Frijoles Selecto 250g,1,14,142,707,10499.2,0.548,CC,True,2020-07-25
73,7700163647522,Cable HDMI Light,4,43,432,16,144050.18,3.975,UN,True,2022-11-24
74,7705978464708,Vino Tinto Economico 5kg,1,11,,546,12747.92,4.621,CC,True,2021-03-14
75,7707825043299,Desodorante Original 200ml,2,24,246,200,17053.41,1.512,CC,True,2023-04-22
76,7706500612502,Pasta Premium Pack x6,1,12,128,717,7455.5,0.476,UN,True,2025-01-11
77,7707877193148,Escoba Economico Pack x12,3,35,351,584,15539.02,1.842,KG,True,2025-06-12
78,7701549858379,Teclado USB Original,4,44,,647,402196.36,11.794,UN,True,2026-03-27
79,7709717029786,Acondicionador Original 100g,2,22,227,560,7654.07,1.227,UN,True,2021-09-06
80,7702113332880,Jugo de Naranja Original 500ml,1,13,137,456,15366.22,0.722,LT,True,2021-09-28
81,7702667795995,Vino Tinto Selecto 500ml,1,11,114,692,11228.98,1.669,UN,True,2024-12-01
82,7705123295627,Vestido Casual Clasico Talla S,5,53,532,238,50067.78,0.671,UN,True,2024-12-24
83,7700051955269,Arroz Plus 500g,1,11,115,425,20049.08,,UN,True,2022-02-12
84,7704424484881,Vestido Casual Extra Talla M,5,55,552,239,22998.39,1.217,UN,True,2022-03-12
85,7701957252752,Enjuague Bucal Clasico 750ml,2,24,245,92,9104.75,0.591,CC,True,2021-04-02
86,7707490181184,Pasta Gold 250g,1,12,,701,5312.65,1.624,UN,True,2025-01-12
87,7707577533841,Parlante Bluetooth Light,4,45,452,399,309920.42,7.873,UN,True,2020-09-17
88,7706157348446,Hilo Dental Gold Pack x10,2,21,212,41,24394.42,1.699,CC,True,2023-08-29
89,7704216851753,Vino Tinto Light Pack x6,1,13,137,660,4435.45,0.719,CC,True,2022-06-23
90,7703102340169,Panales Etapa 2 Economico Talla G,6,61,611,753,218000.25,1.465,UN,True,2023-07-04
91,7708274619748,Jugo de Naranja Selecto 250g,1,11,119,530,5375.16,4.979,CC,True,2025-12-03
92,7705070936192,Pasta Dental Familiar Pack x4,2,22,227,262,14899.34,,UN,True,2025-03-09
93,7704964667859,Crema de Afeitar Selecto Pack x4,2,22,224,689,12019.36,0.911,CC,True,2025-10-20
94,7701134328888,Esponja Original 5L,3,34,344,591,15421.21,1.477,LT,True,2024-06-19
95,7702183830478,Vestido Casual Gold Talla M,5,55,554,229,31080.36,1.735,UN,True,2022-09-30
96,7703604892919,Cereal Original 5kg,1,14,144,264,15179.86,3.866,UN,True,2026-03-24
97,7706988528427,Biberon Tradicional Pack x60,6,64,648,790,17972.53,0.075,UN,True,2023-08-06
98,7708452709911,Trapero Selecto Pack x12,3,33,338,762,5189.79,0.306,KG,True,2022-04-29
99,7709928602768,Manzanilla en Crema Selecto Talla M,6,62,622,542,15302.24,0.259,UN,True,2025-06-28
100,7704274321014,Ropa Interior Pack 3 Familiar Talla M,5,52,,28,119010.58,0.16,UN,True,2026-02-15
