id_devolucion,id_trans_origen,art_id,id_tienda,fec_devolucion,qty_devuelta,motivo_cod,canal_devolucion,estado_devolucion,vr_reembolso
42,896086,2945,6,2025-09-06,1,TALLA,TIENDA,PROCESADA,17932.89
43,472705,4517,13,2025-07-21,1,TALLA,WEB,PROCESADA,4044.21
44,308283,4497,57,2026-04-15,2,OTRO,TIENDA,PROCESADA,19674.63
45,714570,3781,118,2025-11-23,1,DEFECTUOSO,WEB,REEMBOLSADA,135167.12
46,970810,2604,84,2026-03-21,1,DEFECTUOSO,APP,APROBADA,3596.2
47,21352,3719,120,2025-06-28,1,TALLA,WEB,REEMBOLSADA,14854.55
48,716529,2529,60,2025-07-25,1,TALLA,TIENDA,RECHAZADA,0.0
49,515331,3887,44,2026-05-12,1,VENCIDO,WEB,PROCESADA,4318.32
50,241406,2714,109,2025-12-23,3,DEFECTUOSO,WEB,REEMBOLSADA,29039.1
51,53801,3956,15,2026-05-09,1,NO_CORRESPONDE,MKT,REEMBOLSADA,8909.68
52,939576,3060,141,2025-08-13,1,DEFECTUOSO,WEB,REEMBOLSADA,15663.24
53,242809,596,86,2026-06-02,1,TALLA,WEB,APROBADA,48136.44
54,545267,3967,9,2025-10-11,1,NO_CORRESPONDE,WEB,PROCESADA,12710.07
55,642447,4250,67,2025-11-29,1,NO_DESEADO,WEB,REEMBOLSADA,114165.48
56,530508,448,131,2025-08-29,1,NO_DESEADO,TIENDA,APROBADA,9718.01
57,706432,730,77,2025-10-09,1,DEFECTUOSO,TIENDA,REEMBOLSADA,14929.22
58,856020,1758,142,2026-01-02,1,DEFECTUOSO,TIENDA,REEMBOLSADA,142359.13
59,677,1117,43,2025-11-19,2,INCOMPLETO,TIENDA,REEMBOLSADA,13527.52
60,413391,2822,66,2026-02-13,1,TALLA,WEB,REEMBOLSADA,5070.39
61,589562,3708,147,2025-07-09,1,TALLA,TIENDA,PROCESADA,9687.83
62,885961,3924,74,2026-01-03,1,TALLA,APP,PROCESADA,8079.52
63,402210,48,84,2026-05-09,1,NO_DESEADO,TIENDA,APROBADA,826094.77
64,968034,3712,106,2026-05-06,1,NO_DESEADO,TIENDA,PROCESADA,16627.57
65,949563,2104,51,2025-10-30,1,NO_CORRESPONDE,TIENDA,PROCESADA,22445.14
66,875561,527,75,2026-04-30,1,DEFECTUOSO,TIENDA,APROBADA,6794.0
67,910027,2538,48,2026-05-10,1,VENCIDO,TIENDA,APROBADA,
68,325964,4315,93,2025-12-26,2,NO_DESEADO,WEB,PROCESADA,238675.19
69,340060,3169,143,2025-12-18,1,NO_DESEADO,APP,PROCESADA,9351.29
70,345938,4149,33,2025-07-13,1,NO_DESEADO,TIENDA,PROCESADA,18584.71
71,204446,4006,130,2026-05-13,1,VENCIDO,WEB,REEMBOLSADA,17453.18
72,443088,3507,141,2025-07-02,1,DEFECTUOSO,TIENDA,PROCESADA,16897.65
73,423390,4898,32,2025-08-05,1,DEFECTUOSO,TIENDA,PROCESADA,278462.55
74,455586,246,141,2025-07-27,1,VENCIDO,WEB,REEMBOLSADA,124245.22
75,62789,4711,42,2026-01-09,1,OTRO,WEB,PROCESADA,7925.31
76,578745,166,105,2025-12-18,1,NO_DESEADO,WEB,REEMBOLSADA,25825.55
77,677214,2515,13,2026-05-29,1,TALLA,WEB,RECHAZADA,0.0
78,787987,834,102,2026-01-26,1,OTRO,WEB,REEMBOLSADA,8460.22
79,40571,4110,101,2026-02-02,1,NO_DESEADO,TIENDA,APROBADA,265580.79
80,592855,941,102,2026-05-06,1,NO_CORRESPONDE,WEB,APROBADA,16355.38
81,476359,1229,36,2026-04-26,1,INCOMPLETO,WEB,APROBADA,107699.14
82,124076,4016,138,2026-04-22,1,DEFECTUOSO,MKT,PROCESADA,4036.46
83,399592,3981,114,2025-11-24,1,NO_CORRESPONDE,TIENDA,REEMBOLSADA,5644.08
84,539059,2120,80,2026-03-09,1,INCOMPLETO,WEB,APROBADA,20853.51
85,383344,1471,112,2026-03-24,1,DEFECTUOSO,WEB,APROBADA,12035.42
86,787035,3757,49,2025-11-16,1,NO_DESEADO,TIENDA,PROCESADA,24970.01
87,841833,1724,129,2026-01-14,1,INCOMPLETO,WEB,PROCESADA,7500.04
88,867489,3510,77,2025-11-20,1,NO_DESEADO,TIENDA,REEMBOLSADA,173791.92
89,302195,3099,132,2025-11-01,1,NO_CORRESPONDE,WEB,PROCESADA,51167.45
90,659347,533,108,2026-04-23,1,TALLA,TIENDA,PROCESADA,15637.76
91,841632,104,33,2026-01-01,1,NO_DESEADO,WEB,APROBADA,3287.07
92,437055,1600,43,2025-08-04,1,VENCIDO,MKT,RECHAZADA,0.0
93,479717,3401,15,2026-03-28,1,TALLA,TIENDA,APROBADA,3934.19
94,140824,2036,112,2026-04-18,1,TALLA,TIENDA,RECHAZADA,0.0
95,247798,1025,68,2026-02-06,1,NO_CORRESPONDE,TIENDA,PROCESADA,1296894.73
96,96757,920,18,2025-11-16,1,DEFECTUOSO,TIENDA,PROCESADA,
97,323187,1529,142,2025-11-28,2,TALLA,TIENDA,APROBADA,17711.8
98,691221,1838,31,2025-12-04,1,DEFECTUOSO,TIENDA,APROBADA,9357.67
99,426896,3867,127,2026-01-05,1,DEFECTUOSO,TIENDA,APROBADA,16464.3
100,372974,264,68,2025-07-14,1,DEFECTUOSO,TIENDA,RECHAZADA,0.0
