id_trans,id_miembro,id_tienda,art_id,fec_trans,hra_trans,qty_vendida,precio_unitario_venta,descuento_aplicado,tipo_pago,canal_venta
73,48490,145,3775,2025-06-06,15:32:58,2,6629.1,0.0,EFECTIVO,TIENDA
74,3577,12,3330,2026-05-23,15:07:12,4,16356.2,0.0,EFECTIVO,MKT
75,40271,125,2485,2025-12-30,18:31:13,2,175168.36,0.0,TRANSFER,TIENDA
76,,48,1399,2026-05-31,10:10:55,1,3145.58,0.0,TARJETA,MKT
77,,77,3359,2026-03-05,12:12:53,3,72125.15,0.0,EFECTIVO,TIENDA
78,44046,75,2196,2026-03-07,18:16:53,1,21353.41,0.0,CREDITO,TIENDA
79,48780,150,628,2025-08-20,12:37:02,4,50865.47,0.0,TARJETA,MKT
80,4871,51,381,2025-11-16,16:47:02,4,4528.68,,TARJETA,WEB
81,45236,2,4632,2026-03-17,20:17:55,4,5785.19,0.0,PSE,TIENDA
82,,69,3337,2025-08-09,13:46:25,3,5739.72,0.0,EFECTIVO,TIENDA
83,41328,136,4439,2025-07-09,22:18:06,3,13968.23,0.0,DAVIPLATA,TIENDA
84,3406,78,2028,2025-12-25,23:38:13,1,10930.95,0.0,TARJETA,WEB
85,45484,85,657,2026-03-13,11:26:34,5,112528.31,0.0,TARJETA,TIENDA
86,32565,138,4783,2026-03-22,17:53:56,1,23898.06,0.0,TARJETA,MKT
87,3139,72,3092,2025-11-23,18:24:22,3,14429.72,0.0,CREDITO,TIENDA
88,49676,32,1307,2026-05-28,20:46:40,2,80554.16,0.0,TARJETA,TIENDA
89,44458,42,2299,2025-07-05,17:43:07,2,10488.28,2322.47,EFECTIVO,TIENDA
90,8862,108,4815,2025-06-21,13:40:33,2,20359.3,0.0,TARJETA,TIENDA
91,9192,98,4164,2025-11-03,19:20:53,3,16629.05,4754.34,EFECTIVO,TIENDA
92,,61,4711,2025-12-21,17:33:04,1,9260.13,0.0,NEQUI,WEB
93,36544,19,1563,2025-09-21,14:51:33,2,13786.48,4826.28,DAVIPLATA,TIENDA
94,24777,67,3662,2025-11-16,21:00:39,1,13525.56,1208.83,TARJETA,MKT
95,2581,137,2247,2025-09-22,21:17:24,3,9449.3,4487.61,NEQUI,TIENDA
96,33147,73,1335,2026-03-18,11:32:31,3,13487.1,,PSE,WEB
97,,103,2463,2025-11-30,09:31:04,1,213176.26,0.0,DAVIPLATA,WEB
98,1406,59,983,2025-08-07,17:21:09,4,4193.57,0.0,TRANSFER,TIENDA
99,3696,86,561,2025-07-17,15:54:41,3,48633.0,26665.43,CREDITO,TIENDA
100,30063,72,428,2026-05-29,18:17:25,2,12958.68,7541.24,TRANSFER,TIENDA
